County,Month,Year,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Wind,Sea Level Pressure
kisii,January,2010,29.0°C (84.2°F),23.0°C (73.4°F),18.0°C (64.4°F),18.0°C (64.4°F),21.1mm | 0.83in,16.0kmh | 9.94mph,21.1mb
kisii,February,2010,30.0°C (86.0°F),24.0°C (75.2°F),19.0°C (66.2°F),18.0°C (64.4°F),61.3mm | 2.41in,18.0kmh | 11.18mph,61.3mb
kisii,March,2010,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),18.0°C (64.4°F),88.3mm | 3.48in,16.0kmh | 9.94mph,88.3mb
kisii,April,2010,26.0°C (78.8°F),23.0°C (73.4°F),17.0°C (62.6°F),18.0°C (64.4°F),95.3mm | 3.75in,12.0kmh | 7.46mph,95.3mb
kisii,May,2010,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),18.0°C (64.4°F),81.7mm | 3.22in,14.0kmh | 8.7mph,81.7mb
kisii,June,2010,24.0°C (75.2°F),21.0°C (69.8°F),17.0°C (62.6°F),18.0°C (64.4°F),66.5mm | 2.62in,13.0kmh | 8.08mph,66.5mb
kisii,July,2010,25.0°C (77.0°F),20.0°C (68.0°F),16.0°C (60.8°F),17.0°C (62.6°F),23.1mm | 0.91in,14.0kmh | 8.7mph,23.1mb
kisii,August,2010,26.0°C (78.8°F),21.0°C (69.8°F),15.0°C (59.0°F),16.0°C (60.8°F),49.4mm | 1.94in,17.0kmh | 10.56mph,49.4mb
kisii,September,2010,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),17.0°C (62.6°F),29.0mm | 1.14in,19.0kmh | 11.81mph,29.0mb
kisii,October,2010,27.0°C (80.6°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),30.9mm | 1.22in,18.0kmh | 11.18mph,30.9mb
kisii,November,2010,25.0°C (77.0°F),21.0°C (69.8°F),18.0°C (64.4°F),17.0°C (62.6°F),28.7mm | 1.13in,15.0kmh | 9.32mph,28.7mb
kisii,December,2010,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),16.5mm | 0.65in,15.0kmh | 9.32mph,16.5mb
kisii,January,2011,29.0°C (84.2°F),22.0°C (71.6°F),17.0°C (62.6°F),16.0°C (60.8°F),13.7mm | 0.54in,15.0kmh | 9.32mph,13.7mb
kisii,February,2011,31.0°C (87.8°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),18.1mm | 0.71in,17.0kmh | 10.56mph,18.1mb
kisii,March,2011,33.0°C (91.4°F),25.0°C (77.0°F),17.0°C (62.6°F),17.0°C (62.6°F),49.8mm | 1.96in,17.0kmh | 10.56mph,49.8mb
kisii,April,2011,28.0°C (82.4°F),22.0°C (71.6°F),16.0°C (60.8°F),18.0°C (64.4°F),40.0mm | 1.57in,16.0kmh | 9.94mph,40.0mb
kisii,May,2011,24.0°C (75.2°F),21.0°C (69.8°F),17.0°C (62.6°F),18.0°C (64.4°F),58.1mm | 2.29in,16.0kmh | 9.94mph,58.1mb
kisii,June,2011,24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),18.0°C (64.4°F),32.8mm | 1.29in,12.0kmh | 7.46mph,32.8mb
kisii,July,2011,24.0°C (75.2°F),20.0°C (68.0°F),16.0°C (60.8°F),17.0°C (62.6°F),21.6mm | 0.85in,13.0kmh | 8.08mph,21.6mb
kisii,August,2011,25.0°C (77.0°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),37.0mm | 1.46in,14.0kmh | 8.7mph,37.0mb
kisii,September,2011,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),57.1mm | 2.25in,17.0kmh | 10.56mph,57.1mb
kisii,October,2011,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),17.0°C (62.6°F),27.9mm | 1.1in,21.0kmh | 13.05mph,27.9mb
kisii,November,2011,26.0°C (78.8°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),36.0mm | 1.42in,17.0kmh | 10.56mph,36.0mb
kisii,December,2011,25.0°C (77.0°F),21.0°C (69.8°F),18.0°C (64.4°F),18.0°C (64.4°F),30.2mm | 1.19in,14.0kmh | 8.7mph,30.2mb
kisumu,January,2010,34.0°C (93.2°F),27.0°C (80.6°F),19.0°C (66.2°F),19.0°C (66.2°F),11.5mm | 0.45in,20.0kmh | 12.43mph,11.5mb
kisumu,February,2010,35.0°C (95.0°F),28.0°C (82.4°F),20.0°C (68.0°F),20.0°C (68.0°F),42.9mm | 1.69in,20.0kmh | 12.43mph,42.9mb
kisumu,March,2010,34.0°C (93.2°F),27.0°C (80.6°F),21.0°C (69.8°F),20.0°C (68.0°F),77.8mm | 3.06in,21.0kmh | 13.05mph,77.8mb
